"aou","year_start","year_end","beta_mean","beta_se","beta_med","beta_low90","beta_upp90","beta_low99","beta_upp99"
"02610",1985,2014,-1.03571278364516,0.373589485229632,-1.01893559626264,-1.66491124898576,-0.442940409542764,-2.15967522026402,-0.140438061393852
"02640",1985,2014,-1.43521495296301,0.857782684953436,-1.39138320774021,-2.94153436353477,-0.150088143317723,-4.21346494686795,0.478712106436377
"02730",1985,2014,-1.02558237170312,0.145839772678024,-1.02166337090903,-1.27204358496153,-0.796853963667041,-1.42028425871078,-0.662520915203978
"04200",1985,2014,-3.02329940404896,0.236944171209846,-3.03214688255053,-3.40254690571416,-2.6243392594692,-3.63022768292887,-2.43438342869966
"04230",1985,2014,-3.70324965139231,0.0868413838797782,-3.70517554772574,-3.84445669577893,-3.55857247781403,-3.92928922299408,-3.47796467131237
"04430",1985,2014,-0.634345871321044,0.188596214985479,-0.630135709121526,-0.94465155015816,-0.326330118144828,-1.10865177301704,-0.172021535824165
"04440",1985,2014,-2.02926230631577,0.124031828739784,-2.02644178574647,-2.23276317025438,-1.81912959077031,-2.33512045113266,-1.71947860465354
"04470",1985,2014,0.102079500188261,0.169150051412891,0.100695098141379,-0.176280342823762,0.373624335449865,-0.348912528836663,0.543667594300732
"04660",1985,2014,-0.604165358169251,0.243226658296668,-0.595454207707929,-1.01341874676799,-0.214885485734102,-1.330389610341,-0.0486251766021935
"04940",1985,2014,0.26093692603487,0.689897268110826,0.250598311898176,-0.893888024300946,1.37008805291542,-1.48421438947858,2.09134977776458
"04970",1985,2014,-1.21546311710067,0.830453996407512,-1.20178079180372,-2.62284577781881,0.110841788278501,-3.81456144902155,0.948641296724599
"05010",1985,2014,-3.6223855999976,0.0978078587010841,-3.62392973154874,-3.78331884532995,-3.46149387596509,-3.84764305451703,-3.36371120418532
"05011",1985,2014,-1.49220344020182,0.120481270458967,-1.49150726811914,-1.69742104286778,-1.29523161247043,-1.80048656084309,-1.21091377795447
"05400",1985,2014,-1.97867627219057,0.328598363162302,-1.97740523050465,-2.52503461687094,-1.45332807457954,-2.88752252591961,-1.1784079090102
"05420",1985,2014,0.874314241312673,0.635220744486741,0.85157293460475,-0.0903704197122135,1.95985377044072,-0.854604755493099,2.64294976993968
"05460",1985,2014,-3.32407584567426,0.273581511235724,-3.32365676103236,-3.77463222864105,-2.88641851698745,-4.06822409814648,-2.6110076453319
"05780",1985,2014,-1.70503299642402,0.521801518519495,-1.70472967101937,-2.56504392521708,-0.838886852752536,-3.07822437241043,-0.403731552616896
"05840",1985,2014,1.14330809624832,0.571035219483963,1.10216361068927,0.284810830618337,2.09264620594016,-0.239009453955869,2.8130271767155
"06050",1985,2014,-4.98616960405154,0.560949691687034,-4.98883343253628,-5.9287871527375,-4.10901769205939,-6.43424858397972,-3.55624527151409
"06110",1985,2014,-0.750854399539143,0.173984431961002,-0.747940007039094,-1.03974715782143,-0.467122523255368,-1.17658821484476,-0.319624989210118
"06120",1985,2014,-3.46788442417758,1.66672222361227,-3.35344429803764,-6.31985005800505,-0.974019913454194,-8.15980297455513,0.368559840809159
"06130",1985,2014,-1.24350856844022,0.0846770480764212,-1.24419508073997,-1.3834223592109,-1.09837717107059,-1.45617463351849,-1.02118297127179
"06140",1985,2014,-0.991969762973993,0.270521826248629,-0.988596680670145,-1.45262016841507,-0.559011528642915,-1.71611781657096,-0.353468256633761
"06160",1985,2014,-3.25050965877666,2.22054264982118,-3.40551334526579,-6.61075874683143,0.495802439618075,-8.82909106547589,3.51878571808861
"06170",1985,2014,-1.17348680171306,0.507609505461137,-1.20706080245688,-1.91227023384836,-0.29976609283789,-2.51741668602244,0.690425322313601
"07240",1985,2014,1.29172810842998,1.19498929412419,1.28954358612852,-0.701044401669665,3.22909478262077,-1.64919873680681,4.29564412815051
"07250",1985,2014,3.2264371279889,1.01980184411861,3.25947683099788,1.53466925445458,4.88317866076858,0.406056093127789,5.73597858552676
"07660",1985,2014,1.44206727112923,0.0849312253507828,1.44229826583956,1.29976389614749,1.57767009085267,1.21972828931546,1.67923270255124
