"aou","year","bcr","n_diverg","rhat_high","mcse_high","n_eff_low","n_counties","n_bcr","gamma_mean","gamma_se"
"02610",2010,10,0,0,0,0,302,9,0.285952302620102,0.268696765618119
"02610",2010,11,0,0,0,0,302,9,0.00599542542895422,0.0254478945717036
"02610",2010,12,0,0,0,0,302,9,0.0418349184729585,0.0767880160828879
"02610",2010,17,0,0,0,0,302,9,-0.0555607556665235,0.0418197297333152
"02610",2010,18,0,0,0,0,302,9,-0.0865346284640774,0.0732119523092657
"02610",2010,19,0,0,0,0,302,9,0.0269302545067843,0.0267919956774232
"02610",2010,22,0,0,0,0,302,9,0.0577691094307745,0.0202411751245118
"02610",2010,23,0,0,0,0,302,9,0.0179574482455238,0.0846875726235516
"02610",2010,24,0,0,0,0,302,9,-0.865668462264062,0.655336087200635
"02640",2010,9,0,0,0,0,156,9,-0.0538645668251303,0.0280077712545802
"02640",2010,10,0,0,0,0,156,9,-0.057455609318698,0.0645231079667424
"02640",2010,11,0,0,0,0,156,9,-0.0124768286704035,0.253437533860987
"02640",2010,16,0,0,0,0,156,9,-0.53757025692938,0.244617659454155
"02640",2010,17,0,0,0,0,156,9,0.065830421367564,0.121459817272195
"02640",2010,18,0,0,0,0,156,9,-0.061567398757962,0.0462480885938109
"02640",2010,19,0,0,0,0,156,9,-0.108231699745071,0.174389441119772
"02640",2010,36,0,0,0,0,156,9,-0.147511452651388,0.256062311267242
"02640",2010,37,0,0,0,0,156,9,0.210806540723529,0.209489429070064
"02730",2010,5,0,0,0,0,1715,30,-0.0492699943890539,0.0393560019521397
"02730",2010,9,0,0,0,0,1715,30,-0.0108894704984447,0.00967818850757436
"02730",2010,10,0,0,0,0,1715,30,-0.00612083226003781,0.0278816576123211
"02730",2010,11,0,0,0,0,1715,30,-0.0203142530977555,0.0143203800363907
"02730",2010,12,0,0,0,0,1715,30,0.0411206956055886,0.0213441222204834
"02730",2010,13,0,0,0,0,1715,30,0.000737460214010286,0.0242809324654094
"02730",2010,14,0,0,0,0,1715,30,-0.052811168311772,0.0440287067939931
"02730",2010,15,0,0,0,0,1715,30,0.117356790003056,0.0750308819980914
"02730",2010,16,0,0,0,0,1715,30,0.0187174292305222,0.055474214803574
"02730",2010,17,0,0,0,0,1715,30,0.0547364724234719,0.0295496705516505
"02730",2010,18,0,0,0,0,1715,30,-0.00964557520348555,0.0155955573240495
"02730",2010,19,0,0,0,0,1715,30,0.00417693994340092,0.0168782126101008
"02730",2010,20,0,0,0,0,1715,30,0.0638581678949417,0.115612246614107
"02730",2010,21,0,0,0,0,1715,30,-0.00581946232875363,0.0322546336720474
"02730",2010,22,0,0,0,0,1715,30,0.00795587819649554,0.00878313463605779
"02730",2010,23,0,0,0,0,1715,30,0.00482146567834758,0.0172248604359856
"02730",2010,24,0,0,0,0,1715,30,0.0138670764520162,0.0112544747948412
"02730",2010,25,0,0,0,0,1715,30,-0.00431459676231147,0.0258117394894738
"02730",2010,26,0,0,0,0,1715,30,0.0100705840736628,0.0113612885979205
"02730",2010,27,0,0,0,0,1715,30,-0.00443478086767299,0.0102940916039509
"02730",2010,28,0,0,0,0,1715,30,0.00507362912926148,0.0147643795616222
"02730",2010,29,0,0,0,0,1715,30,-0.00554632846911259,0.0237134098151048
"02730",2010,30,0,0,0,0,1715,30,0.00467093807364941,0.0227875248282625
"02730",2010,31,0,0,0,0,1715,30,-0.0205855398972579,0.0131158814974346
"02730",2010,32,0,0,0,0,1715,30,0.00223016373247708,0.0117103202349278
"02730",2010,33,0,0,0,0,1715,30,0.000987621893608826,0.0225076464068272
"02730",2010,34,0,0,0,0,1715,30,0.192441398700938,0.154455743993543
"02730",2010,35,0,0,0,0,1715,30,-0.0531211023588013,0.0470109258004166
"02730",2010,36,0,0,0,0,1715,30,-0.030684070158769,0.0305197374337218
"02730",2010,37,0,0,0,0,1715,30,-0.0445576464628652,0.0394837328749371
"04200",2010,5,0,0,0,1,782,28,-0.0246971695013377,0.140384506918364
"04200",2010,9,0,0,0,1,782,28,0.0106493036993817,0.0160949556082533
"04200",2010,10,0,0,0,1,782,28,-0.0376034189683005,0.0456285286409311
"04200",2010,11,0,0,0,1,782,28,-0.0339459016460739,0.0600683494402521
"04200",2010,12,0,0,0,1,782,28,-0.0387283940112704,0.173213719451281
"04200",2010,13,0,0,0,1,782,28,0.14556524253185,0.273986144777374
"04200",2010,14,0,0,0,1,782,28,-0.559391670538194,1.33498278997346
"04200",2010,15,0,0,0,1,782,28,-0.0284991542130749,0.0495359004911221
"04200",2010,16,0,0,0,1,782,28,-0.0604773158141294,0.0622057697372541
"04200",2010,17,0,0,0,1,782,28,-0.0378883218595637,0.0494564790591892
"04200",2010,18,0,0,0,1,782,28,0.00619204887043348,0.0218436156310331
"04200",2010,19,0,0,0,1,782,28,-0.0115276806201157,0.0278261843946713
"04200",2010,20,0,0,0,1,782,28,-0.0781973248670347,0.134995199239587
"04200",2010,21,0,0,0,1,782,28,-0.058810314568682,0.0560238373241579
"04200",2010,22,0,0,0,1,782,28,0.0267868500529298,0.0315151804988673
"04200",2010,23,0,0,0,1,782,28,0.0757488083269618,0.161763572622951
"04200",2010,24,0,0,0,1,782,28,-0.0445305913292834,0.0677241170948174
"04200",2010,25,0,0,0,1,782,28,0.0641158471479794,0.0561704204919408
"04200",2010,26,0,0,0,1,782,28,-0.0791604037554194,0.0548013615368424
"04200",2010,27,0,0,0,1,782,28,0.000336556327877528,0.0271084813354741
"04200",2010,28,0,0,0,1,782,28,0.0367181761501148,0.280960158455006
"04200",2010,30,0,0,0,1,782,28,0.241726188019045,0.361806207173767
"04200",2010,31,0,0,0,1,782,28,0.000554513134258038,0.0164260409570714
"04200",2010,32,0,0,0,1,782,28,-0.101411780987563,0.216245284845823
"04200",2010,34,0,0,0,1,782,28,0.0412432729512997,0.0853618661569142
"04200",2010,35,0,0,0,1,782,28,0.0707958829159775,0.044211267954236
"04200",2010,36,0,0,0,1,782,28,0.0147015752109885,0.0402870923847385
"04200",2010,37,0,0,0,1,782,28,-0.0184511944716593,0.0573454057396877
"04230",2010,11,0,0,0,0,1298,20,-0.0440711408601605,0.0629019183235001
"04230",2010,12,0,0,0,0,1298,20,0.0153878880856152,0.0374199110069661
"04230",2010,13,0,0,0,0,1298,20,-0.0229392456941081,0.0359013536091834
"04230",2010,14,0,0,0,0,1298,20,0.0557067357769954,0.0388041803567995
"04230",2010,18,0,0,0,0,1298,20,-0.00507008808876569,0.0697896588798783
"04230",2010,19,0,0,0,0,1298,20,-0.0868802863428413,0.0366954151820548
"04230",2010,20,0,0,0,0,1298,20,-0.0631061495598122,0.0982343260547924
"04230",2010,21,0,0,0,0,1298,20,-0.0268502153452823,0.0489526895787826
"04230",2010,22,0,0,0,0,1298,20,0.00232528932454203,0.0152093112227753
"04230",2010,23,0,0,0,0,1298,20,-0.0221835400825558,0.026939388377319
"04230",2010,24,0,0,0,0,1298,20,0.021952198399893,0.0134451807841816
"04230",2010,25,0,0,0,0,1298,20,0.0136114800265452,0.0221538871272611
"04230",2010,26,0,0,0,0,1298,20,-0.0273090648456639,0.0163521847786988
"04230",2010,27,0,0,0,0,1298,20,0.0154309048385923,0.0104781875565472
