"aou","year","bcr","n_diverg","rhat_high","mcse_high","n_eff_low","n_strata","n_bcr","gamma_mean","gamma_se","gamma_med","gamma_low","gamma_upp"
"02610",2010,10,5,0,0,0,302,9,0.830793348854609,0.468680342051627,0.826378321144476,-0.0996698164429343,1.78353916376593
"02610",2010,11,5,0,0,0,302,9,0.0228918495476698,0.0184534852405905,0.0229167853158756,-0.0146191174797068,0.0580153399408653
"02610",2010,12,5,0,0,0,302,9,0.0559840840861103,0.0848615182415526,0.0556469831049713,-0.114630314794298,0.221085189649916
"02610",2010,17,5,0,0,0,302,9,-0.0354775660169765,0.0403448449951773,-0.0356748130050798,-0.115253272358637,0.0437153919515094
"02610",2010,18,5,0,0,0,302,9,-0.042616349807299,0.0665597866423841,-0.0436370825440186,-0.167951218784932,0.0876946024488776
"02610",2010,19,5,0,0,0,302,9,0.021011695370473,0.0250178208046392,0.0216412604490469,-0.0289200396059026,0.0708757459033943
"02610",2010,22,5,0,0,0,302,9,0.057998051593465,0.017727416544958,0.0582089235887712,0.0227646784681489,0.0935115269432754
"02610",2010,23,5,0,0,0,302,9,-0.0104062736511515,0.112822122227247,-0.00777019193734805,-0.234888178636579,0.20184565445
"02610",2010,24,5,0,0,0,302,9,-0.318668613516902,0.3046386423418,-0.320452806926307,-0.922577064316495,0.28175392217709
"02640",2010,9,19,0,0,0,156,9,-0.056747310357514,0.0356072810243245,-0.0555637518001828,-0.126177918394486,0.0142841021211472
"02640",2010,10,19,0,0,0,156,9,-0.099718467031154,0.105345263868994,-0.0964233128893054,-0.307954030005812,0.111558397203004
"02640",2010,11,19,0,0,0,156,9,0.0631773921667503,0.309203455870095,0.0608713405366591,-0.54081178522388,0.656095882722772
"02640",2010,16,19,0,0,0,156,9,-0.522767775375581,0.272940887037239,-0.513494069855799,-1.06848128214239,0.0171827990387305
"02640",2010,17,19,0,0,0,156,9,0.0204693504198752,0.123793372174727,0.0216620266466893,-0.236890778836278,0.254599785405694
"02640",2010,18,19,0,0,0,156,9,-0.0430911019613134,0.0454368605588268,-0.0430732432541568,-0.130360084280212,0.0441065681074426
"02640",2010,19,19,0,0,0,156,9,-0.0914799148866927,0.193497084059383,-0.0915876348014913,-0.465163517337524,0.272651123779892
"02640",2010,36,19,0,0,0,156,9,0.0999078342895348,0.328812284981799,0.101034199084574,-0.523406249173387,0.733441378766102
"02640",2010,37,19,0,0,0,156,9,0.333728650360379,0.166520540558061,0.329555551876565,0.0282345616173242,0.677049537221462
"02730",2010,5,0,0,0,0,1715,30,-0.0980005887956816,0.0485420568437973,-0.0972466807282753,-0.192046566097376,-0.00406953777541168
"02730",2010,9,0,0,0,0,1715,30,-0.0115821816513795,0.0118759007311926,-0.0115082170491319,-0.0345138017149512,0.011351044904709
"02730",2010,10,0,0,0,0,1715,30,-0.00970764230742181,0.0390801172304615,-0.0100156307283473,-0.0849911305457722,0.0659226695678696
"02730",2010,11,0,0,0,0,1715,30,-0.0110738041629439,0.0100570985785209,-0.0114871031187024,-0.0306366825540832,0.00916575520279398
"02730",2010,12,0,0,0,0,1715,30,0.0334802371761985,0.0224606096602945,0.0332942283573023,-0.0116791053653392,0.0786716340542368
"02730",2010,13,0,0,0,0,1715,30,0.0192085874748306,0.0240587744520875,0.0193838666547864,-0.0285494753195195,0.0669664950585773
