"aou","year","comp_med","comp_low","comp_upp","n_diverg","rhat_high"
"05010",2006,12.8721308975956,11.8903338838129,14.053396204345,0,0
"05010",2007,11.8067596615322,10.9279169535224,12.8258108372813,0,0
"05010",2008,11.0427274060072,10.1990838998498,12.0084561654119,0,0
"05010",2009,11.944137622216,11.0507289444531,13.0539645462305,0,0
"05010",2010,10.8904424444666,10.0771586767388,11.8952743577305,0,0
"05010",2011,9.97831956962627,9.23747483034676,10.9149382092387,0,0
"05010",2012,9.34099720901695,8.62187347636585,10.1625029223099,0,0
"05010",2013,9.77053071068395,9.05388510743067,10.6468323251954,0,0
"05010",2014,9.43426145080437,8.6890179632193,10.3467994716773,0,0
"05011",1985,97.099769886997,86.4649419694475,108.93216210234,0,3
"05011",1986,108.81471716049,96.8249587125359,122.512904637163,0,3
"05011",1987,111.863012541221,99.7187358862523,126.418169629987,0,3
"05011",1988,105.630754508618,93.9596701966799,118.208123650693,0,3
"05011",1989,98.6508435945975,88.2509378406128,110.858800879879,0,3
"05011",1990,97.6776758875889,86.5041309209959,109.17999121214,0,3
"05011",1991,104.374984378148,92.567681583631,118.33581993818,0,3
"05011",1992,103.654259189753,92.6161196930771,116.148275215212,0,3
"05011",1993,99.7647169945387,89.3790397813608,112.086332927187,0,3
"05011",1994,92.5076769021808,83.0320846024899,103.143925939507,0,3
"05011",1995,96.5687075471321,86.4611772637162,106.971667370574,0,3
"05011",1996,92.2727820712634,82.6657212474546,102.674119674627,0,3
"05011",1997,93.0230984886539,83.8621060250499,103.423359741802,0,3
"05011",1998,96.5059473665997,86.5817109772759,106.794366595583,0,3
"05011",1999,98.0062834081474,87.8857614614686,109.28917562607,0,3
"05011",2000,87.1526844865496,78.5248536333823,96.6347627163433,0,3
"05011",2001,78.976005628658,70.8859196740789,87.6459434632442,0,3
"05011",2002,78.2975642429433,70.1258181299402,87.2922178403344,0,3
"05011",2003,84.1123413410855,75.6905896609962,93.9578729901017,0,3
"05011",2004,79.616648061201,70.7018526645265,88.9076067019292,0,3
"05011",2005,85.4469395377151,76.5279219306565,95.3538967085121,0,3
"05011",2006,81.7722383254129,73.0313060933361,90.4331247825769,0,3
"05011",2007,76.2175709584558,68.1832928699475,84.4786794558575,0,3
"05011",2008,81.0547440297043,71.9278416047312,91.4898427361568,0,3
"05011",2009,84.8150118714279,75.8067679312987,94.8243284066135,0,3
"05011",2010,78.4937337826594,69.9469452883258,88.0543628270775,0,3
"05011",2011,74.5546815197079,66.4130631980428,83.1379133839228,0,3
"05011",2012,67.9386915745496,60.4761666540046,76.0045392073192,0,3
"05011",2013,67.3724683462275,59.8285191777139,75.8353480192366,0,3
"05011",2014,67.9219521664573,60.2287808005757,77.0915674707036,0,3
"05400",1985,15.7073146336042,12.2665787321485,22.3092862999716,0,0
"05400",1986,18.3837046200982,14.5479233220532,25.4424147946937,0,0
"05400",1987,19.5091548082494,15.0751749132518,28.3710342324473,0,0
"05400",1988,16.8831400394373,13.69898185259,23.0674143187177,0,0
"05400",1989,17.0866897630938,13.4194732964474,24.175880265803,0,0
"05400",1990,16.6710407302934,13.5982821283144,21.4310214489228,0,0
"05400",1991,18.9320725653349,14.9407532180973,27.0079452797391,0,0
"05400",1992,17.9589820062066,14.2964265203893,23.9895080393349,0,0
"05400",1993,16.7702612988759,13.3106909675896,22.8353335033084,0,0
"05400",1994,19.4266820917089,15.1149922373954,26.9222521017052,0,0
"05400",1995,14.8411741859899,11.9616298164251,19.6371392796178,0,0
"05400",1996,17.2295417222153,13.7254189234454,23.5667599618295,0,0
"05400",1997,15.6792779414592,12.6283905289237,20.3258536865069,0,0
"05400",1998,15.4920913908183,12.7512451926605,19.5929993856396,0,0
"05400",1999,13.2507023463858,11.0151179164911,16.8494887254503,0,0
"05400",2000,13.6707688993306,11.3573057409945,17.0626212460428,0,0
"05400",2001,12.6644316089004,10.5213372102554,15.7291754809576,0,0
"05400",2002,12.4868171402426,10.2094909396375,16.5308161163925,0,0
"05400",2003,11.699099306916,9.71603569756161,14.3121153430073,0,0
"05400",2004,12.6312127305756,10.5023106213782,15.7148217254737,0,0
"05400",2005,12.0079978091214,9.96509172875072,14.9746818970143,0,0
"05400",2006,12.1602470117798,9.87743480017842,15.616911820598,0,0
"05400",2007,12.1847634895928,10.1034256306666,15.4682477882394,0,0
"05400",2008,11.8560717653043,9.75972430612696,14.9669630370941,0,0
"05400",2009,12.6915408967309,10.3728340709903,16.0191984313429,0,0
"05400",2010,12.2984458591664,10.0697834575812,15.4366777365781,0,0
"05400",2011,11.3833078430351,9.4197260376783,14.2191001908521,0,0
"05400",2012,11.307521630885,9.24549682085639,14.5314945978324,0,0
"05400",2013,10.272330906038,8.44180507977148,12.8795489925767,0,0
"05400",2014,11.6173418762756,9.3329328649318,15.1347935469469,0,0
"05420",1985,18.6908709980511,12.3217299205004,33.6071509998503,0,0
"05420",1986,19.1658982653292,12.6564532720745,31.8464840653945,0,0
"05420",1987,20.2230315342128,13.4660070173781,35.4968483912001,0,0
"05420",1988,17.0771333824948,11.4730169541436,30.9446359738973,0,0
"05420",1989,19.8671453984663,12.8312172203328,35.4939525906171,0,0
"05420",1990,21.5602377077677,14.3617059116242,37.096742094257,0,0
"05420",1991,25.459543864924,15.9903837383245,47.4460874575033,0,0
"05420",1992,22.7158200479221,14.8382297718279,39.1617493133039,0,0
"05420",1993,19.1883960646676,13.1128229650469,32.0387949482431,0,0
"05420",1994,24.7424432976221,16.5169693575996,41.7831726617239,0,0
"05420",1995,24.932113231492,16.5611873519986,41.2858981322525,0,0
"05420",1996,25.0307232197787,17.2897016025932,40.9857041606477,0,0
"05420",1997,29.3115678931191,19.1467643164352,48.0586167919564,0,0
"05420",1998,29.5051502022381,19.4644194075288,50.9372897407765,0,0
"05420",1999,27.9165431814681,18.4365886673457,48.1949232289062,0,0
"05420",2000,23.9540588443083,16.3411128601166,40.6559260783121,0,0
"05420",2001,20.7688386149904,14.199505103181,33.8448788552234,0,0
"05420",2002,17.2955641872094,11.7942368237331,30.8572619740621,0,0
"05420",2003,21.7317384164565,14.7143767549194,36.6757095728165,0,0
"05420",2004,23.2408565010525,15.5650802962966,39.6200404259716,0,0
"05420",2005,25.7249183577878,16.7379838910401,45.7080602910349,0,0
"05420",2006,29.2345224879392,17.7851349440667,54.1750053801993,0,0
"05420",2007,29.3614424505106,18.1702443661927,51.9948527930763,0,0
"05420",2008,26.1381057083805,16.9677995784173,46.2354112766795,0,0
"05420",2009,27.1431237368674,17.0442541176639,47.5829202522084,0,0
"05420",2010,26.6717881191787,16.854507883903,48.3465263930243,0,0
"05420",2011,24.40515128998,15.6059255816575,43.0270028165562,0,0
"05420",2012,25.4183202753081,15.8927937413912,45.4887432224522,0,0
"05420",2013,24.2956890624767,15.1244696603956,45.2194396047285,0,0
"05420",2014,21.4039889373016,13.2558017917028,38.0899494346665,0,0
"05460",1985,10.1895335306355,8.26592504688354,12.8650050286237,0,0
"05460",1986,10.2849404116388,8.59398494473193,13.0071847810078,0,0
"05460",1987,11.4902078935128,9.53655983036899,13.9626728982191,0,0
"05460",1988,12.6519395605686,9.92233445818201,17.18798968781,0,0
"05460",1989,10.1163293153098,8.44736209858141,12.7194504737199,0,0
"05460",1990,11.0803966470469,9.22398549997775,13.8090013079089,0,0
"05460",1991,14.1198643171845,11.5353247414534,18.1264653373788,0,0
"05460",1992,13.5025716816672,10.955109963528,17.0054901924024,0,0
"05460",1993,10.880611738909,9.17601774711545,13.4150770821447,0,0
"05460",1994,10.0962586004444,8.40957183894767,12.5437917476834,0,0
"05460",1995,9.3833614485096,7.94743540178896,11.257124199319,0,0
"05460",1996,8.35097347774667,7.04078830336819,10.0875654300233,0,0
"05460",1997,9.28029352427884,7.99815621918016,10.9743819732586,0,0
"05460",1998,8.83360607481515,7.5003810353245,10.7406771580299,0,0
"05460",1999,9.11039219600876,7.7450729075893,11.0034112030171,0,0
