"aou","year","bcr","n_diverg","rhat_high","mcse_high","n_eff_low","n_counties","n_bcr","gamma_mean","gamma_se"
"02610",1980,11,0,0,0,0,293,12,-0.0488187674070521,0.0377973888441847
"02610",1980,12,0,0,0,0,293,12,-0.0589703776146054,0.091413832813496
"02610",1980,13,0,0,0,0,293,12,0.0607922761519001,0.133380749548601
"02610",1980,14,0,0,0,0,293,12,-0.282470613646336,0.422049022036798
"02610",1980,17,0,0,0,0,293,12,-0.14685988055274,0.0876897339561933
"02610",1980,18,0,0,0,0,293,12,0.299027753766806,0.1293351881542
"02610",1980,19,0,0,0,0,293,12,-0.0156699993646132,0.0474641287430736
"02610",1980,21,0,0,0,0,293,12,-0.214572991161596,0.20914096667897
"02610",1980,22,0,0,0,0,293,12,0.00948018096272157,0.033375948279938
"02610",1980,23,0,0,0,0,293,12,0.0511471231203286,0.0945050937460806
"02610",1980,28,0,0,0,0,293,12,0.0666495048225719,0.14062481926238
"02610",1980,30,0,0,0,0,293,12,-0.383457031295561,0.382629536960589
"02610",1985,10,0,0,0,0,312,13,0.655710929541592,0.503271520987797
"02610",1985,11,0,0,0,0,312,13,-0.022648516105433,0.0214462957353136
"02610",1985,12,0,0,0,0,312,13,-0.171694058450817,0.0797049471681402
"02610",1985,13,0,0,0,0,312,13,-0.208302563034409,0.139238270573353
"02610",1985,14,0,0,0,0,312,13,0.114158685020544,0.166428278109709
"02610",1985,17,0,0,0,0,312,13,0.0203741812031565,0.0841629545147013
"02610",1985,18,0,0,0,0,312,13,0.199038790183831,0.118741251411744
"02610",1985,19,0,0,0,0,312,13,-0.0570261559781988,0.0375921065092441
"02610",1985,21,0,0,0,0,312,13,-1.88047677740946,0.986846056661399
"02610",1985,22,0,0,0,0,312,13,0.0176021383213833,0.0241177347150557
"02610",1985,23,0,0,0,0,312,13,-0.0359066365302711,0.0712666075324516
"02610",1985,28,0,0,0,0,312,13,-0.055439753936872,0.136270593461158
"02610",1985,29,0,0,0,0,312,13,1.28631692002384,0.624812359873105
"02610",1990,10,1,0,0,0,324,12,-0.515042255607838,0.612999757537325
"02610",1990,11,1,0,0,0,324,12,-0.00585111740396684,0.0246656548866029
"02610",1990,12,1,0,0,0,324,12,-0.0249486828935232,0.068124040121376
"02610",1990,13,1,0,0,0,324,12,0.218298982544627,0.156044743399568
"02610",1990,14,1,0,0,0,324,12,-0.0740252708707347,0.188171448075343
"02610",1990,17,1,0,0,0,324,12,-0.0294626972399913,0.0734985793815757
"02610",1990,18,1,0,0,0,324,12,-0.223663616051439,0.117364488290917
"02610",1990,19,1,0,0,0,324,12,-0.0464734557804799,0.0416366802909992
"02610",1990,21,1,0,0,0,324,12,-0.166115067226441,0.482008553410447
"02610",1990,22,1,0,0,0,324,12,0.0243096382849848,0.0285949722679899
"02610",1990,23,1,0,0,0,324,12,-0.029805716164563,0.0867332120351122
"02610",1990,28,1,0,0,0,324,12,-0.454811734015992,0.340968183492023
"02610",1995,10,0,0,0,1,327,13,-0.906729168142075,0.567561881862956
"02610",1995,11,0,0,0,1,327,13,-0.0343081725148731,0.0190860733000556
"02610",1995,12,0,0,0,1,327,13,0.0201695493812292,0.0691584889008195
"02610",1995,13,0,0,0,1,327,13,0.178710946489287,0.120236362721891
"02610",1995,14,0,0,0,1,327,13,0.174347480210103,0.106108352535212
