"route_uniq","pct_crop","pct_past","have_cent"
"C840S14R084",0.005,0.285,TRUE
"C840S14R085",0.133,0.059,TRUE
"C840S14R086",0.014,0.001,TRUE
"C840S14R087",3.961,2.073,FALSE
"C840S14R088",0,0,TRUE
"C840S14R089",36.266,27.038,TRUE
"C840S14R090",1.528,2.253,TRUE
"C840S14R091",0.47,0.011,TRUE
"C840S14R092",30.039,33.185,TRUE
"C840S14R093",18.546,3.27,TRUE
"C840S14R094",0.028,0,TRUE
"C840S14R095",0,0,TRUE
"C840S14R096",0,0.161,TRUE
"C840S14R097",0.177,0.72,TRUE
"C840S14R098",0.5,0.869,TRUE
"C840S14R099",0,0.036,TRUE
"C840S14R100",3.926,0.704,FALSE
"C840S14R103",1.375,3.031,TRUE
"C840S14R104",0.009,0.087,TRUE
"C840S14R105",0.472,0.122,TRUE
"C840S14R106",0.059,0.192,TRUE
"C840S14R107",1.091,0.102,TRUE
"C840S14R108",7.506,0.135,TRUE
"C840S14R109",0,0,TRUE
"C840S14R110",0.001,0.02,TRUE
"C840S14R111",0.162,0.009,TRUE
"C840S14R112",1.189,0.045,TRUE
"C840S14R113",0.549,0.269,TRUE
"C840S14R114",8.184,2.697,TRUE
"C840S14R116",0.067,0.033,TRUE
"C840S14R117",0.074,0.036,TRUE
"C840S14R118",0.173,0.368,TRUE
"C840S14R119",3.173,0.471,TRUE
"C840S14R120",1.716,0.097,TRUE
"C840S14R121",0.105,0.012,TRUE
"C840S14R122",0.211,0.09,TRUE
"C840S14R123",4.022,1.276,TRUE
"C840S14R124",0,0,TRUE
"C840S14R125",19.154,1.366,TRUE
"C840S14R126",0.36,1.118,TRUE
"C840S14R127",14.017,2.385,TRUE
"C840S14R128",0.033,0.006,TRUE
"C840S14R129",0.021,0.028,TRUE
"C840S14R130",0.06,0.029,TRUE
"C840S14R131",0,0,TRUE
"C840S14R132",0.003,0,TRUE
"C840S14R133",0.471,3.664,TRUE
"C840S14R134",6.502,1.802,TRUE
"C840S14R135",0,0.099,TRUE
"C840S14R136",0.82,0.218,TRUE
"C840S14R137",0.079,0.112,TRUE
"C840S14R138",3.009,2.301,TRUE
"C840S14R139",0,0,TRUE
"C840S14R140",0.154,0.703,TRUE
"C840S14R141",0.019,0.019,TRUE
"C840S14R142",0.125,0.194,TRUE
"C840S14R145",47.785,6.944,TRUE
"C840S14R147",66.856,5.031,TRUE
"C840S14R148",78.834,1.861,TRUE
"C840S14R149",58.472,17.079,TRUE
"C840S14R150",34.101,25.871,TRUE
"C840S14R151",4.317,5.295,TRUE
"C840S14R152",10.936,7.284,TRUE
"C840S14R153",0.074,0.329,TRUE
"C840S14R154",0,0.055,TRUE
"C840S14R155",56.647,7.368,TRUE
"C840S14R156",0.005,0,TRUE
"C840S14R157",0.961,0.233,TRUE
"C840S14R158",0.469,2.599,TRUE
"C840S14R159",54.04,3.099,TRUE
"C840S14R160",0.035,2.888,TRUE
"C840S14R161",0.007,0.084,TRUE
"C840S14R162",2.495,4.997,TRUE
"C840S14R163",2.178,8.819,TRUE
"C840S14R164",0,0,TRUE
"C840S14R165",2.462,6.442,TRUE
"C840S14R166",20.444,30.097,TRUE
"C840S14R167",0,0,TRUE
"C840S14R168",7.864,5.414,TRUE
"C840S14R169",1.457,0.33,TRUE
"C840S14R170",0,0.223,TRUE
"C840S14R171",75.217,6.948,TRUE
"C840S14R172",0.027,0.003,TRUE
"C840S14R173",1.474,0.486,TRUE
"C840S14R174",0,0,TRUE
"C840S14R175",1.62,0.267,TRUE
"C840S14R176",3.861,1.445,TRUE
"C840S14R177",3.116,2.963,TRUE
"C840S14R178",0,0,TRUE
"C840S14R179",0.594,1.634,TRUE
"C840S14R180",0,0,TRUE
"C840S14R181",0.162,1.881,TRUE
"C840S14R182",0.023,0.066,TRUE
"C840S14R183",3.507,0.773,TRUE
"C840S14R184",0.002,0.005,TRUE
"C840S14R185",0,0.002,TRUE
"C840S14R186",7.306,2.098,TRUE
"C840S14R187",64.7,5.836,TRUE
"C840S14R188",0,0,TRUE
"C840S14R189",1.466,0.308,TRUE
"C840S14R190",1.04,0.596,TRUE
"C840S14R191",6.666,0.5,TRUE
"C840S14R192",0.232,0.911,TRUE
"C840S14R193",0.081,0,TRUE
"C840S14R194",1.136,0.008,TRUE
"C840S14R195",20.353,1.035,TRUE
"C840S14R196",57.909,4.928,TRUE
"C840S14R197",67.157,11.633,TRUE
"C840S14R198",13.094,6.028,TRUE
"C840S14R199",0.005,0.016,TRUE
"C840S14R200",0.006,1.97,TRUE
"C840S14R201",0.501,0.238,TRUE
"C840S14R202",9.863,0.19,TRUE
"C840S14R203",15.697,2.571,TRUE
"C840S14R204",44.655,8.457,TRUE
"C840S14R205",0,0,TRUE
"C840S14R210",2.121,0,TRUE
"C840S14R213",0,0,TRUE
"C840S14R220",3.436,0.122,TRUE
"C840S14R221",0.105,0.011,TRUE
"C840S14R225",8.327,2.304,TRUE
"C840S14R226",0.362,1.126,TRUE
"C840S14R231",0,0,FALSE
"C840S14R235",0,0.057,FALSE
"C840S14R240",0.609,0.272,FALSE
"C840S14R245",47.403,7.131,TRUE
"C840S14R252",7.952,2.189,FALSE
"C840S14R260",0.55,0.258,FALSE
"C840S14R267",0,0,FALSE
"C840S14R302",9.888,0.241,TRUE
"C840S14R303",17.629,2.48,TRUE
"C840S14R308",0.002,0.107,TRUE
"C840S14R313",0.495,0.12,TRUE
"C840S14R319",1.507,0.002,TRUE
"C840S14R320",62.665,6.619,TRUE
