"route_uniq","fips","lat","lon","type"
"C840S02R035","01039",31.05377788,-86.82539943,"centroid"
"C840S02R035","01053",31.05377788,-86.82539943,"centroid"
"C840S02R035","12113",31.05377788,-86.82539943,"centroid"
"C840S02R036","01099",31.89030823,-87.25243229,"centroid"
"C840S02R036","01131",31.89030823,-87.25243229,"centroid"
"C840S02R037","01003",31.22226119,-87.7365923,"centroid"
"C840S02R037","01099",31.22226119,-87.7365923,"centroid"
"C840S02R038","01035",31.31163276,-87.28612223,"centroid"
"C840S02R038","01099",31.31163276,-87.28612223,"centroid"
"C840S02R039","01023",31.71325161,-88.40561069,"centroid"
"C840S02R039","01129",31.71325161,-88.40561069,"centroid"
"C840S02R040","01097",30.42574661,-88.14273594,"centroid"
"C840S02R041","01003",30.25535536,-87.72077802,"centroid"
"C840S02R042","01003",30.47460744,-87.59494755,"centroid"
"C840S02R043","01007",33.17394141,-87.21079645,"centroid"
"C840S02R043","01125",33.17394141,-87.21079645,"centroid"
"C840S02R044","01073",33.50704314,-86.83709426,"centroid"
"C840S02R045","01059",34.24374923,-87.76046135,"centroid"
"C840S02R045","01093",34.24374923,-87.76046135,"centroid"
"C840S02R046","01095",34.33207233,-86.33342039,"centroid"
"C840S02R047","01125",33.26245174,-87.76653287,"centroid"
"C840S02R048","01119",32.83286281,-88.17091831,"centroid"
"C840S02R049","01063",32.87982851,-87.91910761,"centroid"
"C840S02R049","01065",32.87982851,-87.91910761,"centroid"
"C840S02R050","01085",32.18589814,-86.72319781,"centroid"
"C840S02R051","01087",32.71630593,-85.72864049,"centroid"
"C840S02R051","01123",32.71630593,-85.72864049,"centroid"
"C840S02R052","01097",31.16353122,-88.39188345,"centroid"
"C840S02R052","01129",31.16353122,-88.39188345,"centroid"
"C840S02R053","01025",31.84101559,-87.7476379,"centroid"
"C840S02R054","01031",31.08035771,-86.11895814,"centroid"
"C840S02R054","01039",31.08035771,-86.11895814,"centroid"
"C840S02R054","01061",31.08035771,-86.11895814,"centroid"
"C840S02R055","01067",31.66828793,-85.49249935,"centroid"
"C840S02R055","01005",31.66828793,-85.49249935,"centroid"
"C840S02R056","01121",33.3622484,-86.31055565,"centroid"
"C840S02R057","01079",34.28164048,-87.33087677,"centroid"
"C840S02R057","01133",34.28164048,-87.33087677,"centroid"
"C840S02R058","01049",34.42140241,-85.65718301,"centroid"
"C840S02R059","01107",33.1944826,-88.06257166,"centroid"
"C840S02R060","01125",33.38025253,-87.47958031,"centroid"
"C840S02R061","01115",33.83373509,-86.37101424,"centroid"
"C840S02R062","01029",33.79558791,-85.47229786,"centroid"
"C840S02R063","01091",32.42315922,-87.72896322,"centroid"
"C840S02R064","01037",32.89135829,-86.25648788,"centroid"
"C840S02R065","01011",32.29136646,-85.86849793,"centroid"
"C840S02R065","01087",32.29136646,-85.86849793,"centroid"
"C840S02R066","01053",31.16937669,-87.24296742,"centroid"
"C840S02R067","01039",31.36340824,-86.48338967,"centroid"
"C840S02R068","01061",31.01729215,-85.62232613,"centroid"
"C840S02R068","01069",31.01729215,-85.62232613,"centroid"
"C840S02R069","01097",30.83383115,-88.34109004,"centroid"
"C840S02R070","01003",30.42971461,-87.78491587,"centroid"
"C840S02R071","01079",34.7347512,-87.45837311,"centroid"
"C840S02R071","01033",34.7347512,-87.45837311,"centroid"
"C840S02R072","01077",34.93623695,-87.16945614,"centroid"
"C840S02R072","01083",34.93623695,-87.16945614,"centroid"
"C840S02R073","01071",34.83509012,-86.12408536,"centroid"
"C840S02R102","01079",34.61591798,-87.35409819,"centroid"
"C840S02R105","01009",34.08790603,-86.54547945,"centroid"
"C840S02R109","01049",34.46846865,-85.96848833,"centroid"
"C840S02R109","01071",34.46846865,-85.96848833,"centroid"
"C840S02R111","01015",33.73272111,-85.68009062,"centroid"
"C840S02R137","01003",31.09346525,-87.70297346,"centroid"
"C840S02R140","01097",30.38600594,-88.16376298,"centroid"
"C840S02R141","01003",30.29793058,-87.63011304,"centroid"
"C840S02R142","01003",30.52904361,-87.57492347,"centroid"
"C840S02R156","01121",33.37828068,-86.27847712,"centroid"
"C840S02R162","01029",33.85590907,-85.54235409,"centroid"
"C840S02R162","01015",33.85590907,-85.54235409,"centroid"
"C840S02R164","01037",32.89649183,-86.26703627,"centroid"
"C840S02R201","01059",34.44195038,-88.04961571,"centroid"
"C840S02R201","01093",34.44195038,-88.04961571,"centroid"
"C840S02R203","01089",34.78165128,-86.69461663,"centroid"
"C840S02R204","01071",34.86294423,-85.8236301,"centroid"
"C840S02R205","01075",33.82865578,-88.10441358,"centroid"
"C840S02R206","01127",33.91556402,-87.23852179,"centroid"
"C840S02R207","01009",33.90452452,-86.49638107,"centroid"
"C840S02R207","01115",33.90452452,-86.49638107,"centroid"
"C840S02R208","01121",33.47296545,-86.07950544,"centroid"
"C840S02R209","01111",33.32804286,-85.47452092,"centroid"
"C840S02R210","01091",32.39406496,-87.48214305,"centroid"
"C840S02R210","01131",32.39406496,-87.48214305,"centroid"
"C840S02R210","01105",32.39406496,-87.48214305,"centroid"
"C840S02R211","01001",32.48262604,-86.6539783,"centroid"
"C840S02R212","01113",32.34006498,-85.18262423,"centroid"
"C840S02R212","01081",32.34006498,-85.18262423,"centroid"
"C840S02R213","01129",31.35524051,-88.16242111,"centroid"
