"route_uniq","fips","lat","lon"
"C840S06R016","04017",34.6673667,-110.3230139
"C840S06R017","04001",34.4781336,-109.6046705
"C840S06R018","04012",33.6562037,-114.2169649
"C840S06R019","04012",33.8839297,-113.8530119
"C840S06R020","04013",33.7034749,-112.2723363
"C840S06R021","04021",33.0219797,-111.2169189
"C840S06R022","04007",33.8114477,-110.9051519
"C840S06R023","04011",33.6100527,-109.1067429
"C840S06R024","04027",32.8332815,-114.3988546
"C840S06R025","04027",32.9285617,-113.5413359
"C840S06R026","04019",32.3325717,-112.7874759
"C840S06R027","04021",33.0156287,-111.3839189
"C840S06R028","04003",32.0343407,-110.3031159
"C840S06R029","04009",32.4996877,-109.3368449
"C840S06R030","04019",32.0266567,-112.9573589
"C840S06R031","04023",31.387449,-111.064564
"C840S06R032","04023",31.5175977,-110.7949529
"C840S06R033","04003",31.8181957,-109.6948089
"C840S06R051","04015",36.2863797,-113.0649869
"C840S06R052","04005",36.3131479,-112.0319722
"C840S06R053","04005",36.9132282,-111.4526999
"C840S06R054","04005",36.3915637,-110.8794319
"C840S06R055","04001",36.3599237,-109.6437909
"C840S06R056","04015",35.1226722,-114.582156
"C840S06R057","04015",35.4272901,-113.8087941
"C840S06R058","04005",35.0556327,-112.2188339
"C840S06R059","04005",35.1634107,-111.9475859
"C840S06R060","04017",35.2779817,-110.3798989
"C840S06R061","04017",35.5302347,-109.8516089
"C840S06R063","04012",34.2318174,-113.5975476
"C840S06R064","04025",34.7733727,-112.6192267
"C840S06R065","04007",34.3566847,-111.1008299
"C840S06R066","04005",34.7,-110.7666667
"C840S06R067","04017",34.1153987,-109.9154509
"C840S06R068","04012",33.2314477,-114.668276
"C840S06R069","04013",33.2869987,-112.9375459
"C840S06R070","04013",33.3339864,-112.677217
"C840S06R071","04013",33.8177037,-111.6398389
"C840S06R072","04007",33.1754789,-110.5290913
"C840S06R073","04001",33.8668667,-109.1657669
"C840S06R074","04027",32.8548017,-114.4452209
"C840S06R076","04019",32.1764407,-112.2624969
"C840S06R077","04021",32.57312,-111.3291239
"C840S06R078","04021",32.5434377,-110.5053099
"C840S06R079","04009",32.6498267,-109.8181145
"C840S06R080","04019",32.4009815,-112.9321083
"C840S06R081","04023",31.7120327,-111.0671459
"C840S06R082","04019",31.9576267,-110.9446259
"C840S06R083","04003",31.6464055,-109.4732045
"C840S06R101","04015",36.6901017,-113.4587859
"C840S06R103","04005",36.6095467,-111.0768659
"C840S06R105","04001",36.3019687,-109.1965869
"C840S06R106","04015",35.8663787,-114.6619869
"C840S06R107","04015",35.5541565,-113.3760172
"C840S06R108","04025",35.2307957,-112.5859679
