group,species,species_short,aou,habitat_cornell,behav_cornell
blackbirds and allies,bobolink,Bobolink,04940,grassland,ground forager
blackbirds and allies,eastern meadowlark,E. Meadowlark,05010,grassland,ground forager
blackbirds and allies,western meadowlark,W. Meadowlark,05011,grassland,ground forager
blackbirds and allies,yellow-headed blackbird,Y.-H. Blackbird,04970,marsh,ground forager
new world sparrows,cassin's sparrow,Cassin's Sparrow,05780,grassland,ground forager
new world sparrows,grasshopper sparrow,Grass. Sparrow,05460,grassland,ground forager
new world sparrows,lark bunting,Lark Bunting,06050,grassland,ground forager
new world sparrows,savannah sparrow,Sav. Sparrow,05420,grassland,ground forager
new world sparrows,swamp sparrow,Swamp Sparrow,05840,marsh,ground forager
new world sparrows,vesper sparrow,Vesp. Sparrow,05400,grassland,ground forager
nightjars,common nighthawk,Com. Nighthawk,04200,grassland,aerial forager
plovers and lapwings,killdeer,Killdeer,02730,grassland,ground forager
sandpipers and allies,long-billed curlew,L.-B. Curlew,02640,grassland,probing
sandpipers and allies,upland sandpiper,Upl. Sandpiper,02610,grassland,ground forager
swallows,bank swallow,Bank Swallow,06160,lake/pond,aerial forager
swallows,barn swallow,Barn Swallow,06130,town,aerial forager
swallows,cliff swallow,Cliff Swallow,06120,lake/pond,aerial forager
swallows,northern rough-winged swallow,N. R.-W. Swallow,06170,river/stream,aerial forager
swallows,purple martin,Purple Martin,06110,lake/pond,aerial forager
swallows,tree swallow,Tree Swallow,06140,lake/pond,aerial forager
swifts,chimney swift,Chimney Swift,04230,town,aerial forager
thrushes,eastern bluebird,E. Bluebird,07660,grassland,ground forager
tyrant flycatchers,eastern kingbird,E. Kingbird,04440,grassland,flycatching
tyrant flycatchers,scissor-tailed flycatcher,S.-T. Flycatcher,04430,grassland,flycatching
tyrant flycatchers,western kingbird,W. Kingbird,04470,grassland,flycatching
tyrant flycatchers,willow flycatcher,Wil. Flycatcher,04660,marsh,flycatching
wrens,marsh wren,Marsh Wren,07250,marsh,ground forager
wrens,sedge wren,Sedge Wren,07240,marsh,ground forager
